station_file,station,country,record_count,linear_rmse,linear_mae,linear_r2,ridge_rmse,ridge_mae,ridge_r2,ridge_best_alpha,ridge_cv_rmse
IRRAWADDY_SAGAING_Q_Day.Cmd.csv,SAGAING,MYANMAR,4379.0,922.3485825598931,424.25576237215694,0.97578317328856,922.6484843432644,423.8986576967271,0.9757674225184396,1.0,1150.909626063886
AMAZON_SAOFELIPE_Q_Day.Cmd.csv,SAO-FELIPE,BRAZIL,917.0,1706.6634513511344,1163.0510380202682,0.6023431856904934,1713.6935296082165,1171.7331795110986,0.5990603870272608,10.0,1860.195266689469
IRRAWADDY_HKAMTI_Q_Day.Cmd.csv,HKAMTI,MYANMAR,675.0,1717.9450972178345,691.6571254672492,0.5115219882808233,1754.9013411414246,655.5162530582209,0.49027977017710767,100.0,1346.7484857043262
CONGO_KINSHASA_Q_Day.Cmd.csv,KINSHASA,CONGOBRAZZAVILLE,858.0,2159.379957665009,1548.137185556322,0.7937641542942532,2159.4243600015884,1548.14951570024,0.7937556727414329,0.01,2963.096467439635
LENA_KYUSUR_Q_Day.Cmd.csv,KYUSUR,RUSSIA,1089.0,2581.7352954029043,1607.8859277490424,0.8805870844592589,2685.1093638700527,1800.3170312789787,0.8708329217393614,100.0,2649.0814579370153
IRRAWADDY_PYAY_Q_Day.Cmd.csv,PYAY,MYANMAR,3364.0,2653.709769163454,1250.3797385195892,0.9029386391543575,2727.0321418257586,1298.5695054783143,0.8975009021261228,100.0,3750.8835644604565
GANGESBRAHMAPUTRA_HARDINGEBRIDGE_Q_Day.Cmd.csv,HARDINGE-BRIDGE,BANGLADESH,2735.0,5978.365809517427,2285.7285590248594,0.7183850470781988,5932.611402098522,2340.854516017659,0.722679136346452,100.0,4572.269881897499
GANGESBRAHMAPUTRA_BAHADURABAD_Q_Day.Cmd.csv,BAHADURABAD,BANGLADESH,889.0,8423.489575805059,5410.449707568787,0.7476438232142906,8372.237444848655,5391.388247428956,0.7507053677986529,10.0,9795.8677158666
AMAZON_MANACAPURU_Q_Day.Cmd.csv,MANACAPURU,BRAZIL,1875.0,8712.410017294911,5241.4632224827765,0.914087757679421,8703.946362106564,5233.129795293992,0.9142545951925017,10.0,10012.045098199344
AMAZON_OBIDOS_Q_Day.Cmd.csv,OBIDOS,BRAZIL,2740.0,11446.458688906243,5125.122604991387,0.9472608101767016,11445.69284618961,5134.826590126019,0.9472678671319277,1.0,10414.973377704398
